BirthYear,EducDeg,MonthSal,GeoLivArea,Children,ClaimsRate,PremMotor,PremHousehold,PremHealth,PremLife,PremWork,TotalPrem
1951,3,3206.0,4,1,1.0,213.15,217.25,242.6,56.9,59.9,789.8
1956,2,2336.0,1,1,0.63,246.49,264.5,223.71,51.12,20.78,806.6
1980,2,1440.0,1,1,1.0,436.75,65.0,140.47,12.889999999999999,0.8900000000000041,656.0
1956,3,2934.0,4,1,0.66,289.5,211.7,217.82,22.67,29.67,771.3599999999999
1949,3,4196.0,4,0,0.19999999999999996,183.48000000000002,471.75,190.37,43.12,73.68,962.4000000000001
1962,2,3284.0,4,1,0.85,290.61,99.45,180.59,51.9,50.01,672.56
1951,4,3091.0,3,1,1.04,429.86,-6.099999999999994,141.47,6.890000000000001,-3.1099999999999994,569.01
1948,3,3901.0,4,0,0.42,342.73,83.35,150.25,48.12,30.23,654.6800000000001
1961,1,2318.0,4,1,0.95,355.51,304.5,136.58,39.34,21.67,857.6
1982,2,1431.0,3,1,0.46,368.07,-25.55000000000001,163.81,29.56,17.78,553.67
1962,2,3234.0,2,1,0.35,463.31,-65.0,104.02,0.8900000000000006,5.780000000000001,509.0
1985,3,1792.0,1,1,0.32999999999999996,291.39,132.25,209.93,30.56,5.670000000000002,669.7999999999998
1959,2,2656.0,3,1,1.03,238.49,221.7,244.49,22.67,64.01,791.36
1968,3,2479.0,3,0,0.61,399.63,344.5,114.91,7.0,8.670000000000002,874.7099999999999
1988,3,1631.0,4,1,0.99,326.06,307.85,166.81,7.890000000000001,5.780000000000001,814.39
1970,3,2423.0,2,1,1.03,581.33,55.0,17.670000000000016,-5.9999999999999964,-1.0,647.0
1983,3,1779.0,3,1,1.21,193.26,-30.55000000000001,291.5,65.68,12.67,532.56
1943,3,3860.0,4,0,1.05,216.93,48.349999999999994,315.95,12.78,16.78,610.79
1984,3,1416.0,3,1,0.39999999999999997,282.61,163.35,214.04,38.23,19.45,717.6800000000001
1939,1,3903.0,3,0,0.64,263.94,196.15,221.93,31.34,29.56,742.92
1953,3,2976.0,1,1,1.06,324.84,83.35,159.92,32.45,41.12,641.68
1979,3,1986.0,4,1,0.44,393.63,192.8,136.47,11.670000000000002,20.56,755.13
1984,4,1270.0,2,1,0.71,230.82,126.7,263.05,31.45,25.34,677.36
1986,3,2668.0,4,1,1.0,296.5,70.0,200.15,60.790000000000006,8.670000000000002,636.1099999999999
1964,3,2831.0,4,1,1.12,520.1,-20.0,45.00999999999999,-1.0,-8.0,536.11
1938,2,3924.0,4,0,0.81,169.81,244.5,224.82,26.56,118.91,784.5999999999999
1950,1,3870.0,1,1,0.68,204.26,82.8,110.02,125.19,59.68,642.2399999999999
1967,2,2805.0,1,1,0.94,427.08,142.8,104.13,1.8900000000000006,37.34,713.24
1960,2,2744.0,4,1,1.05,424.97,69.45,133.47,23.67,6.890000000000001,658.4499999999999
1956,1,2694.0,3,1,0.39,62.67999999999998,636.525,210.15,31.45,122.525,1108.76
1980,2,2071.0,4,1,1.0,190.59,317.85,188.37,6.890000000000001,118.58,822.2800000000001
1952,3,3194.0,2,0,0.53,234.49,48.349999999999994,219.82,67.68,28.45,598.7900000000001
1979,2,2342.0,1,1,0.89,349.4,73.9,170.92,37.23,2.780000000000001,634.2299999999999
1948,3,3480.0,3,0,0.71,297.61,240.6,218.82,13.78,14.67,785.4799999999999
1958,2,3673.0,3,1,0.77,292.61,108.35,117.91,12.670000000000002,122.525,677.68
1995,1,764.0,4,1,0.93,79.68,636.525,97.24,125.19,16.56,1319.47
1976,2,2126.0,3,1,0.54,368.29,158.35,189.37,22.67,-1.1099999999999994,737.5699999999999
1966,3,2039.0,4,1,0.25,482.09,-35.55000000000001,99.13,1.0,-0.10999999999999943,546.56
1950,3,3507.0,3,0,0.43,330.95,72.8,108.91,35.23,99.35,647.24
1971,3,2257.0,3,1,0.66,285.83,182.25,231.82,29.34,29.56,758.8
1973,3,2059.0,4,1,0.49,405.3,187.25,136.58,9.780000000000001,-12.0,726.91
1975,2,1834.0,3,1,0.48,359.29,127.25,187.59,2.8900000000000006,0.8900000000000041,677.91
1966,3,2684.0,1,1,0.14,506.54,10.0,71.68,7.890000000000001,14.89,611.0
1954,2,3128.0,4,1,0.61,279.61,251.7,178.7,29.34,60.9,800.25
1960,2,2181.0,3,1,0.41,142.47,437.3,246.49,43.12,70.46,939.84
1948,3,3650.0,3,0,0.62,324.95,330.05,159.14,31.34,26.56,872.04
1984,2,1444.0,1,1,0.56,311.17,511.75,109.02,8.89,64.57,1005.4000000000001
1956,3,2402.0,4,1,0.57,273.94,181.7,199.15,29.45,41.23,725.47
1989,1,1518.0,1,1,0.17999999999999994,286.5,294.5,78.57,87.24,68.68,815.49
1959,1,2957.0,1,1,0.89,230.71,343.95,152.03,93.35,36.23,856.27
1969,3,2614.0,1,1,0.35,442.64,-50.0,130.69,11.889999999999999,-5.110000000000003,530.1099999999999
1990,2,1412.0,1,1,0.64,240.38,3.9000000000000057,227.82,66.68,35.34,574.12
1967,2,1853.0,4,1,0.99,478.09,108.9,94.35,9.889999999999999,13.889999999999999,705.12
1952,2,3481.0,3,0,1.0,132.58,636.525,168.7,71.79,65.9,1189.12
1946,3,3971.0,1,0,0.91,202.04,-55.0,173.81,98.24,106.02,525.11
1953,4,3272.0,1,1,0.82,437.75,87.8,83.46,37.34,6.890000000000001,653.24
1977,2,1615.0,4,1,0.49,219.04,113.35,311.06,10.780000000000001,20.45,674.6800000000001
1968,2,2328.0,2,1,0.12,489.87,44.45,74.57,5.0,3.780000000000001,617.6700000000001
1982,3,1423.0,4,1,1.06,167.92,171.7,347.51,21.56,20.67,729.3599999999999
1943,3,3577.0,2,0,0.82,243.27,138.35,237.71,35.34,47.9,702.57
1977,4,1810.0,2,1,0.14,490.98,79.45,86.35,-1.1099999999999994,3.8900000000000006,659.5600000000001
1972,3,2516.0,4,0,0.65,232.49,225.6,256.27,41.12,5.890000000000001,761.37
1953,2,3799.0,4,0,0.31,354.51,127.25,105.13,104.02,9.89,700.8
1976,2,2538.0,2,1,0.69,194.26,305.6,237.13400000000001,37.34,17.67,792.004
1957,2,3221.0,1,1,0.25,320.17,349.5,193.48,30.45,5.0,898.6000000000001
1959,2,2765.0,1,1,0.41,285.83,364.5,149.36,73.56999999999998,40.34,913.5999999999999
1951,4,3097.0,1,0,0.98,391.63,152.25,131.47,18.67,5.780000000000001,699.8
1986,4,1266.0,2,1,0.66,213.04,138.35,287.5,19.56,42.23,700.68
1990,3,1231.8,4,1,1.02,146.36,353.95,220.04,121.8,42.01,884.16
1980,2,1807.0,4,1,1.03,345.73,18.900000000000006,180.48,35.34,19.78,600.23
1983,3,2342.0,4,1,0.85,272.72,97.8,177.7,48.12,57.79,654.13
1954,2,2951.0,3,1,0.43,116.69,123.9,173.81,125.19,122.525,697.12
1966,3,2649.0,3,1,0.08999999999999997,522.1,15.0,44.120000000000005,9.889999999999999,7.890000000000001,599.0
1994,1,984.0,4,1,0.63,64.89999999999998,197.25,29.560000000000002,18.56,122.525,761.8
1948,2,3686.0,4,0,0.47,264.94,426.75,167.81,30.45,31.34,921.2900000000001
1984,2,1146.0,3,1,0.48,165.03,358.95,241.38,6.890000000000001,106.91,879.16
1989,2,1753.0,4,0,0.97,125.80000000000001,636.525,79.57,125.19,101.13,1228.67
1981,3,1684.0,3,1,1.03,423.08,-15.550000000000011,129.47,8.779999999999998,11.78,557.56
1967,3,2333.0,2,0,0.12,512.32,-10.0,58.900000000000006,3.8900000000000006,4.0,569.11
1992,3,1354.0,3,0,0.43,100.13,614.55,321.84,-0.10999999999999588,48.23,1084.64
1949,2,3825.0,4,0,0.78,321.95,175.6,189.59,20.56,3.780000000000001,711.4799999999999
1982,3,1181.0,3,1,0.44,395.52,93.35,135.36,12.78,14.67,651.68
1958,3,3044.0,2,1,0.21999999999999997,484.98,-35.0,71.79,26.56,11.670000000000002,559.9999999999999
1974,3,2234.0,2,1,1.05,497.76,-15.0,91.35,7.890000000000001,-12.0,570.0
1972,3,3082.0,4,1,0.06000000000000005,551.66,-15.550000000000011,28.44999999999999,7.0,-3.0000000000000036,568.56
1977,3,2285.0,1,0,0.25,349.4,87.8,142.47,9.780000000000001,68.79,658.2399999999999
1976,3,1652.0,1,1,0.3,429.97,63.349999999999994,124.69,18.67,1.8900000000000006,638.5699999999999
1973,2,2412.0,4,1,0.81,416.08,128.35,127.47,7.890000000000001,-4.109999999999999,675.68
1985,3,1402.0,2,1,0.51,282.72,38.349999999999994,249.38,18.56,6.670000000000002,595.68
1974,3,2155.0,4,0,0.25999999999999995,429.97,64.45,117.8,12.670000000000002,10.67,635.56
1951,1,3617.0,4,1,0.52,120.80000000000001,599.0,160.14,125.19,80.57,1089.1999999999998
1941,3,3994.0,2,0,0.67,228.6,97.25,284.61,14.67,25.67,650.8
1997,2,927.0,4,1,0.72,158.03,313.4,245.38,93.13,9.89,819.8299999999999
1953,3,3196.0,3,0,0.58,249.38,-10.550000000000011,311.17,4.780000000000001,3.780000000000001,558.56
1941,1,3916.0,4,0,0.39999999999999997,182.7,274.5,212.93,23.67,106.8,800.5999999999999
1960,2,2609.0,4,1,0.29,342.51,88.35,176.81,7.780000000000001,39.23,654.6800000000001
1966,2,2902.0,2,1,0.96,256.05,342.85,132.47,40.34,70.68,842.3900000000001
1979,4,1664.0,1,1,0.9,458.31,63.900000000000006,99.24,1.8900000000000006,2.780000000000001,626.12
1966,2,2854.0,4,1,0.32,389.85,-5.0,151.03,24.45,5.780000000000001,566.11
1968,3,3198.0,4,0,1.05,236.49,88.9,230.82,57.900000000000006,63.9,678.01
1963,2,2103.0,3,1,0.2800000000000001,455.42,78.35,104.13,3.0,19.78,660.68
1976,3,1979.0,3,1,0.86,324.06,113.35,216.93,11.670000000000002,25.67,691.6799999999998
1982,2,1739.0,3,0,0.6,99.01999999999998,263.95,158.03,45.12,122.525,775.1600000000001
1944,3,3234.0,3,0,0.91,162.81,397.85,242.38,76.68,38.45,918.1700000000001
1941,2,4091.0,1,0,1.0,263.05,363.4,220.93,28.56,-0.21999999999999886,875.72
1991,2,825.9999999999998,1,0,0.86,158.92,634.0,207.26,73.56999999999998,23.45,1097.2
1973,3,2195.0,2,1,0.21999999999999997,431.86,59.45,129.58,6.890000000000001,-0.21999999999999886,627.56
1984,2,2419.0,4,1,1.07,258.782,253.95,230.6,5.890000000000001,43.12,792.342
1982,3,1020.0,1,1,0.27,451.64,53.349999999999994,101.01999999999998,1.8900000000000006,14.67,622.5699999999999
1982,4,1924.0,4,1,0.18999999999999995,461.2,-10.550000000000011,92.13,3.8900000000000006,7.890000000000001,554.56
1951,3,3035.0,3,1,0.79,233.71,560.65,200.26,6.890000000000001,56.01,1057.52
1954,3,3057.0,2,1,0.94,314.95,24.450000000000003,129.58,9.889999999999999,120.69,599.56
1971,3,2620.0,4,1,0.93,532.88,34.45,29.340000000000003,11.889999999999999,-1.0,607.5600000000001
1994,1,1486.0,2,0,0.12,106.01999999999998,587.9,76.46,22.45,122.525,1018.4300000000001
1952,3,3544.0,4,1,0.25,421.3,34.45,150.14,-5.9999999999999964,17.67,617.56
1975,4,2549.0,2,1,1.0,491.87,39.45,80.35,5.890000000000001,6.0,623.5600000000001
1978,3,2349.0,4,1,1.14,469.31,-65.0,115.8,10.311999999999998,10.999999999999998,541.422
1958,3,3115.0,4,0,0.39,346.62,68.9,199.37,20.67,31.56,667.1199999999999
1943,3,3806.0,4,1,1.05,499.76,-25.55000000000001,60.900000000000006,22.56,2.0,559.67
1945,4,3746.0,3,0,0.66,211.93,-5.550000000000011,289.5,58.010000000000005,12.67,566.56
1955,3,3333.0,4,1,1.01,488.87,8.900000000000006,64.68,5.780000000000001,7.890000000000001,576.12
1958,3,3221.0,4,1,0.62,290.39,271.15,195.26,9.889999999999999,32.23,798.92
1985,3,1938.0,1,1,0.38,390.52,-30.55000000000001,167.81,-1.1099999999999994,-0.10999999999999943,526.56
1953,1,2686.0,3,1,0.62,344.73,244.5,128.47,48.01,3.8900000000000006,769.6
1960,3,2544.0,4,1,0.84,163.03,636.525,159.92,45.23,34.34,1329.9199999999998
1985,2,1592.0,3,1,0.88,185.7,53.349999999999994,267.94,67.79,42.01,616.79
1961,2,2782.0,1,1,1.13,314.28,200.05,134.36,34.23,63.01,745.93
1983,2,1968.0,3,1,0.46,343.62,63.900000000000006,170.81,30.34,40.45,649.12
1952,2,2900.0,1,0,0.64,178.59,258.95,240.49,89.45999999999998,17.67,785.16
1945,3,3960.0,3,0,0.89,313.28,58.349999999999994,245.49,11.670000000000002,12.89,641.68
1965,2,3032.0,4,1,0.43,263.27,215.6,213.04,24.56,43.01,759.4799999999999
1984,2,873.0,1,1,0.89,181.59,275.6,262.05,-3.0,84.23999999999998,800.48
1962,3,2343.0,1,1,0.17999999999999994,508.43,-30.55000000000001,65.9,5.780000000000001,9.0,558.56
1968,3,2400.0,4,1,1.06,543.77,50.0,39.229999999999976,-7.0000000000000036,-7.0,619.0
1960,3,3083.0,4,1,0.20999999999999996,444.64,84.45,126.69,10.889999999999999,-6.109999999999999,660.56
1970,1,2439.0,1,1,1.21,263.16,-5.0,215.93,48.12,68.79,591.0
1976,4,1609.0,1,1,0.24,477.09,35.0,101.01999999999998,-3.9999999999999964,3.0,612.1099999999999
1967,3,2106.0,1,1,0.58,368.96,281.15,139.47,34.45,14.89,838.92
1958,3,2736.0,3,1,0.32,382.85,33.349999999999994,178.81,14.67,2.0,611.68
1990,3,1363.0,4,1,0.45,299.39,39.45,221.93,24.45,23.34,608.5600000000001
1967,2,3012.0,4,1,0.88,485.87,94.45,84.46,3.8900000000000006,-6.109999999999999,662.5600000000001
1993,2,1342.0,4,1,0.93,189.59000000000003,240.6,249.38,56.01,63.9,799.48
1948,2,4031.0,1,1,0.66,320.17,264.5,154.25,11.780000000000001,57.9,808.6
1944,4,3738.0,3,1,1.0,533.1,84.45,43.120000000000005,0.8900000000000006,5.890000000000001,667.45
1971,3,1934.0,4,1,0.72,425.86,216.7,87.24,8.89,16.67,755.3599999999999
1967,3,1757.0,4,0,0.39999999999999997,436.97,187.8,114.91,5.780000000000001,18.78,764.2399999999999
1976,2,2746.0,1,1,0.22999999999999998,401.41,123.35,134.58,12.78,24.56,696.68
1968,3,2469.0,1,1,1.04,532.99,-15.0,47.00999999999998,4.0,8.0,577.0
1947,3,3643.0,2,0,0.84,317.17,93.35,209.93,34.45,18.78,673.6800000000001
1982,2,1607.0,4,1,0.0,333.95,323.4,84.35,44.12,46.9,832.7199999999999
1987,3,1109.0,4,0,1.2,247.38,256.15,146.25,106.13,58.12,814.03
1951,3,3226.0,1,1,0.54,250.49,54.45,241.49,63.900000000000006,48.23,658.5600000000001
1947,2,3812.0,1,0,1.06,267.94,207.25,201.26,44.12,41.23,761.8000000000001
1944,2,3851.0,3,0,0.41,183.58999999999997,303.4,219.82,18.67,99.24,824.7199999999999
1964,2,2524.0,4,1,0.16000000000000003,443.53,59.45,102.24000000000001,16.67,19.67,641.56
1985,2,1650.0,1,1,0.88,139.36,636.525,163.92,63.68000000000001,34.34,1209.8
1996,1,1980.0,2,1,0.99,33.34000000000003,406.2,131.69,125.19,122.525,910.96
1962,3,2568.0,1,1,0.2800000000000001,447.53,-30.55000000000001,107.91,8.89,17.78,551.56
1948,2,3573.0,4,0,0.27,152.25,579.55,233.71,53.9,45.23,1064.6399999999999
1964,2,2924.0,4,1,0.65,205.04,403.4,105.02000000000001,87.24,113.02,913.7199999999999
1972,2,1889.0,4,1,0.43,239.49,501.75,180.7,75.68,2.780000000000001,1000.4000000000001
1948,2,3506.0,1,0,0.32999999999999996,153.25,335.05,295.61,64.79,36.34,885.0400000000001
1970,3,2418.0,1,1,0.07000000000000006,541.77,-35.0,25.44999999999999,6.890000000000001,3.8900000000000006,543.0
1986,2,642.0,4,1,0.49,188.48,273.95,271.83,26.45,29.45,790.1600000000001
1952,3,3766.0,1,0,0.88,210.15,23.900000000000006,253.38,70.79,63.01,621.23
1945,3,3676.0,4,0,0.32,301.39,216.7,195.37,50.12,2.780000000000001,766.3599999999999
1988,3,1207.0,3,1,0.75,293.5,177.25,207.26,37.34,28.34,743.69
1993,1,566.0,3,1,1.0,32.23000000000002,422.3,302.5,101.24,73.46000000000001,931.73
1986,3,1637.0,2,1,0.5,311.28,111.7,225.93,20.67,1.7800000000000011,671.3599999999999
1968,3,2389.0,3,1,0.0,506.54,3.9000000000000057,49.00999999999999,17.78,4.890000000000001,582.12
1982,3,1817.0,3,1,1.06,466.42,-10.550000000000011,112.91,12.889999999999999,16.89,598.56
1973,4,2572.0,4,1,0.12,510.54,39.45,73.68,12.889999999999999,2.0,638.5600000000001
1987,2,1579.0,4,1,0.35,92.45999999999998,636.525,248.49,-1.1099999999999994,122.525,1118.2
1980,3,1920.0,4,1,1.0,389.63,68.9,154.25,17.67,23.67,654.1199999999999
1968,3,2319.0,2,1,0.99,537.99,55.0,40.12000000000002,-1.0,6.0,638.11
1942,3,4374.0,3,0,0.46,316.17,99.45,188.59,22.67,64.68,691.56
1984,2,1903.0,4,1,0.95,174.7,142.8,246.27,110.8,22.67,697.2399999999999
1944,1,3842.0,1,0,0.20999999999999996,181.48,636.525,207.26,14.67,8.670000000000002,1137.23
1957,4,2945.0,3,1,0.55,310.17,187.25,197.26,17.78,17.45,729.9100000000001
1995,3,380.0,1,0,0.20999999999999996,50.900000000000034,636.525,221.93,10.780000000000001,122.525,1424.81
1957,2,3463.0,4,1,0.9,316.28,43.349999999999994,234.71,19.56,0.8900000000000041,614.79
1986,4,1201.0,4,1,0.35,291.61,162.8,230.71,26.56,29.67,741.3499999999999
1970,4,2692.0,4,1,0.07999999999999996,537.77,69.45,37.45000000000002,-5.9999999999999964,17.89,656.5600000000001
1987,3,1008.0,3,1,0.45,222.04,98.35,301.28,44.23,0.7800000000000011,666.68
1991,1,931.0,1,1,0.66,175.7,288.95,180.7,101.24,82.46,829.05
1946,3,3195.0,4,0,0.35,345.4,-30.0,156.03,24.45,36.12,531.9999999999999
1975,3,2715.0,4,1,1.03,472.2,-25.0,108.01999999999998,12.889999999999999,-2.110000000000003,566.0
1990,3,881.0000000000002,1,1,0.0,163.92,636.525,151.25,66.68,76.68,1185.88
1982,3,1282.0,4,1,0.10999999999999988,511.32,99.45,63.900000000000006,2.0,-5.0,671.67
1972,2,2247.0,3,1,0.37,428.08,157.8,106.02,22.56,5.780000000000001,720.2399999999999
1977,2,1697.0,4,1,1.02,331.84,177.8,181.7,44.12,17.67,753.1299999999999
1942,2,3532.0,4,1,0.51,328.95,8.900000000000006,188.48,46.12,7.670000000000002,580.12
1946,3,4032.0,2,0,0.65,241.49,103.9,285.72,43.12,5.780000000000001,680.01
1976,1,2451.0,4,1,0.75,450.53,176.7,94.35,1.8900000000000006,0.8900000000000041,724.36
1981,2,2048.0,1,1,0.46,313.17,177.25,145.25,92.35,14.78,742.8000000000001
1968,2,2029.0,3,1,0.20999999999999996,484.76,-30.55000000000001,55.00999999999999,18.78,35.45,563.45
1949,2,3869.0,1,0,1.0,248.38,185.6,215.82,20.67,40.12,710.5899999999999
1947,2,3504.0,1,0,0.68,204.04,226.7,240.6,33.45,76.57,781.3600000000001
1968,3,2888.0,1,1,1.06,540.77,50.0,46.22999999999999,-5.0,-10.0,622.0
1948,1,2937.0,3,0,0.61,156.92,298.4,195.37,63.790000000000006,92.24,806.7199999999999
1941,2,4343.0,1,1,0.56,281.61,235.6,147.36,65.9,65.01,795.48
1938,1,4386.0,1,0,0.79,96.01999999999998,541.2,189.59,125.19,90.35,1044.85
1987,3,1076.0,3,1,0.61,269.05,98.35,266.16,-3.0,58.12,688.68
1962,3,3083.0,1,1,1.3,506.43,-75.0,55.900000000000006,5.890000000000001,1.7800000000000011,495.0
1964,2,2419.0,2,1,0.16000000000000003,499.54,33.900000000000006,59.78999999999999,-5.9999999999999964,4.890000000000001,592.12
1997,1,1281.0,3,1,0.7,71.57000000000002,549.55,161.03,120.8,119.69,1022.6399999999999
1944,3,3550.0,4,0,0.96,209.93,298.4,233.6,36.45,35.34,813.72
1977,2,1957.0,2,1,0.25,426.08,13.900000000000006,123.58,18.78,4.780000000000001,587.12
1953,3,3301.0,3,1,0.20999999999999996,333.73,413.4,129.58,23.56,18.45,918.72
1975,2,2193.0,3,1,0.0,139.58,82.25,246.49,72.57,102.91,643.8000000000001
1992,1,1202.0,1,1,0.77,48.00999999999999,334.5,182.59,125.19,122.525,859.6
1991,2,902.0,1,0,0.87,48.120000000000005,215.05,249.49,125.19,98.02,751.1500000000001
1977,3,1918.0,1,1,0.77,325.73,210.6,162.92,-1.9999999999999964,39.34,736.59
1992,2,1192.0,4,0,0.25999999999999995,247.38,265.05,128.58,81.34999999999998,74.68,797.0400000000002
1944,2,3167.0,4,1,1.1,168.03,609.55,216.82,94.35,13.889999999999999,1102.6399999999999
1978,2,2128.0,1,1,0.3,348.62,241.7,151.14,44.23,23.78,809.4699999999999
